run_id,latent_dim,beta,kl_loss,recon_loss,n_active,active_ratio,mean_dim_var,max_dim_var,min_dim_var
ld4_b0.1_s2_20260308_065755,4,0.1,0.002414729679003358,0.026415208354592323,0,0.0,0.00041382783092558384,0.0004521887458395213,0.0003620264760684222
ld4_b0.5_s0_20260308_065944,4,0.5,0.0007528088171966374,0.026245083659887314,0,0.0,0.00022099976195022464,0.0002451500331517309,0.00019469839753583074
ld4_b0.5_s1_20260308_070123,4,0.5,0.0007978210342116654,0.02620769292116165,0,0.0,0.00022955745225772262,0.00024776780628599226,0.00020632041560020298
ld4_b0.5_s2_20260308_070259,4,0.5,0.0009859688580036163,0.026438070461153984,0,0.0,0.000296600628644228,0.00033491195063106716,0.0002511608472559601
ld4_b1.0_s0_20260308_070442,4,1.0,0.0006744778365828097,0.02624821849167347,0,0.0,0.00020747483358718455,0.0002364214014960453,0.00018615728185977787
ld4_b1.0_s1_20260308_070614,4,1.0,0.0006864514434710145,0.026212669909000397,0,0.0,0.00021248355915304273,0.00023407203843817115,0.00018696862389333546
ld4_b1.0_s2_20260308_071548,4,1.0,0.0009044892503879964,0.026442550122737885,0,0.0,0.00028603069949895144,0.0003253243921790272,0.00024178531020879745
ld4_b2.0_s0_20260308_071726,4,2.0,0.0006477272836491466,0.026250215247273445,0,0.0,0.00020303034398239106,0.00023459216754417866,0.0001790960959624499
ld4_b2.0_s1_20260308_071903,4,2.0,0.0006489059887826443,0.026216285303235054,0,0.0,0.0002066975721390918,0.0002311552088940516,0.0001788825902622193
ld4_b2.0_s2_20260308_072039,4,2.0,0.000881823303643614,0.0264443252235651,0,0.0,0.00028299607220105827,0.00032237882260233164,0.00023995361698325723
ld4_b4.0_s0_20260308_072214,4,4.0,0.0006403258885256946,0.026251396164298058,0,0.0,0.00020234507974237204,0.00023586093448102474,0.00017605350876692683
ld4_b4.0_s1_20260308_072352,4,4.0,0.0006382529973052442,0.026218213140964508,0,0.0,0.00020505714928731322,0.000231280573643744,0.00017669983208179474
ld4_b4.0_s2_20260308_072531,4,4.0,0.0008744824444875121,0.026445187628269196,0,0.0,0.00028172513702884316,0.00032093990012072027,0.00023925704590510577
ld64_b0.1_s0_20260308_095055,64,0.1,0.009286152198910713,0.033127713948488235,0,0.0,0.00018444182933308184,0.00027555550332181156,0.0001177627855213359
ld64_b0.1_s1_20260308_095228,64,0.1,0.008614927530288696,0.03292378410696983,0,0.0,0.00016910112753976136,0.0002376396005274728,0.00011509228352224454
ld64_b0.1_s2_20260308_095401,64,0.1,0.009174671955406666,0.0333394818007946,0,0.0,0.0001784190535545349,0.0002718878968153149,0.00012073348625563085
ld64_b0.5_s0_20260308_095534,64,0.5,0.008286918513476849,0.03315618634223938,0,0.0,0.00016981044609565288,0.0002495517546776682,0.00010424978972878307
ld64_b0.5_s1_20260308_095709,64,0.5,0.00779859209433198,0.03294994309544563,0,0.0,0.00015877484111115336,0.00022263026039581746,0.00010764948819996789
ld64_b0.5_s2_20260308_095842,64,0.5,0.00831924844533205,0.033365290611982346,0,0.0,0.00016654690261930227,0.00025860429741442204,0.0001085353214875795
